feature,attribution
Gaze_Point_Euclidean_Distance,0.00041021603273646445
Angular_Difference_X,0.0003249186112318972
Vergence_Depth,0.00029615233576120486
Vergence_Angle,0.0002890161555805196
Gaze_Vector_Angle,0.00018143576811691044
Delta_Gaze_Y,0.00017900568194951635
Angular_Difference_Gaze_Directions,0.00017545952918627376
Gaze_Point_Depth_Difference,0.00017134092353188708
World_Gaze_Direction_R_X,0.00015705248655879412
Delta_Gaze_X,0.00015170740229082324
Gaze_Direction_Angle,0.00015151898722578198
World_Gaze_Direction_R_Z,0.00014708693047321786
World_Gaze_Direction_R_Y,0.00014240615243134557
Gaze_Point_Distance,0.00014023010721508312
World_Gaze_Direction_L_Z,0.00013546888712216804
Gaze_Direction_Y_Ratio,0.00013289155543540549
Normalized_Vergence_Angle,0.00013079558603366437
Delta_Gaze_Z,0.0001184363721848528
Ratio_World_Gaze_Direction_Z,0.00011614376044253133
Ratio_Delta_Gaze_XY,0.00011292292469500573
Ratio_World_Gaze_Direction_X,0.00010797740508886062
World_Gaze_Direction_L_Y,0.00010738724150642252
Directional_Magnitude_L,9.520783046513477e-05
World_Gaze_Direction_L_X,8.900090393799086e-05
Cosine_Angles,8.779733912677243e-05
Gaze_Direction_X_Ratio,8.365169772138942e-05
Ratio_World_Gaze_Direction_Y,8.357993508376573e-05
Gaze_Direction_Z_Ratio,8.047542871116342e-05
Ratio_Directional_Magnitude,7.213957947487131e-05
Directional_Magnitude_Ratio,6.648522698113129e-05
Directional_Magnitude_R,4.3447654880141454e-05
Velocity_Gaze_Direction_R_X,2.611170406415531e-05
Relative_Change_Vergence_Angle,2.2533340500133815e-05
Acceleration_Gaze_Direction_R_X,1.9048043668232006e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
