feature,attribution
Gaze_Point_Euclidean_Distance,3.1901073826762776e-08
Cosine_Angles,3.105953480612156e-08
Delta_Gaze_Y,3.08005638202166e-08
Angular_Difference_Gaze_Directions,2.8298430233094197e-08
World_Gaze_Direction_R_Y,2.7883524897266637e-08
Delta_Gaze_X,2.7242034553889595e-08
Gaze_Vector_Angle,2.667990588319726e-08
Normalized_Vergence_Angle,2.5822537842910177e-08
Gaze_Direction_Z_Ratio,2.581548403929921e-08
Angular_Difference_X,2.5573885585498906e-08
World_Gaze_Direction_L_Y,2.4586765653663278e-08
Gaze_Point_Distance,2.385609275379462e-08
Gaze_Direction_Angle,2.3801619545563957e-08
World_Gaze_Direction_R_Z,2.227460378388053e-08
Ratio_World_Gaze_Direction_X,2.094079347116152e-08
Ratio_World_Gaze_Direction_Z,1.8920192571480575e-08
Vergence_Angle,1.7884789453492172e-08
Gaze_Point_Depth_Difference,1.7324089971180897e-08
Vergence_Depth,1.6741660507564446e-08
Delta_Gaze_Z,1.6565675518464142e-08
World_Gaze_Direction_L_Z,1.5362451394470933e-08
Gaze_Direction_Y_Ratio,1.525523635328079e-08
Ratio_Delta_Gaze_XY,1.4624192629367427e-08
Ratio_World_Gaze_Direction_Y,1.4049023987065109e-08
World_Gaze_Direction_R_X,1.3366011112121858e-08
World_Gaze_Direction_L_X,1.281986380451884e-08
Ratio_Directional_Magnitude,1.0268427185586621e-08
Gaze_Direction_X_Ratio,1.0109851885796005e-08
Directional_Magnitude_Ratio,8.809419819610389e-09
Directional_Magnitude_R,7.224050012919569e-09
Directional_Magnitude_L,6.80334413524252e-09
Velocity_Gaze_Direction_R_X,3.3213972189112303e-09
Acceleration_Gaze_Direction_R_X,3.2099983551572666e-09
Relative_Change_Vergence_Angle,3.031945276520986e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
