feature,attribution
Angular_Difference_X,3.7937522349280546e-08
Vergence_Depth,3.352898535281141e-08
World_Gaze_Direction_R_Y,2.6842751225877443e-08
Gaze_Vector_Angle,2.433294991587001e-08
World_Gaze_Direction_L_X,2.3830241051335202e-08
Gaze_Point_Euclidean_Distance,2.3580801811408443e-08
Gaze_Direction_Angle,2.171771149545276e-08
Delta_Gaze_Z,2.105388201660719e-08
World_Gaze_Direction_L_Z,2.013522383273104e-08
Gaze_Direction_Z_Ratio,2.006981524910571e-08
Angular_Difference_Gaze_Directions,2.003702051633653e-08
Delta_Gaze_Y,1.975452484522839e-08
Ratio_World_Gaze_Direction_X,1.8588100921961875e-08
Gaze_Direction_Y_Ratio,1.7181682868988957e-08
Gaze_Direction_X_Ratio,1.6961513050103524e-08
Cosine_Angles,1.6948799708926727e-08
Gaze_Point_Distance,1.672103144166411e-08
World_Gaze_Direction_R_Z,1.666893542774321e-08
World_Gaze_Direction_L_Y,1.6453783206767638e-08
World_Gaze_Direction_R_X,1.5527092913651622e-08
Ratio_World_Gaze_Direction_Y,1.4088193609159034e-08
Vergence_Angle,1.3819636129207425e-08
Gaze_Point_Depth_Difference,1.304266595380206e-08
Ratio_Delta_Gaze_XY,1.267818381232195e-08
Normalized_Vergence_Angle,1.2420603949839525e-08
Delta_Gaze_X,1.1928301890078028e-08
Ratio_World_Gaze_Direction_Z,1.1907053287708017e-08
Ratio_Directional_Magnitude,1.0375575380623731e-08
Directional_Magnitude_R,8.242685150692743e-09
Directional_Magnitude_L,8.215982822764315e-09
Directional_Magnitude_Ratio,7.513039963415749e-09
Relative_Change_Vergence_Angle,4.137616316821875e-09
Velocity_Gaze_Direction_R_X,3.833814380932887e-09
Acceleration_Gaze_Direction_R_X,3.329813954877688e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
