feature,attribution
Cosine_Angles,0.00027368069195216684
Gaze_Direction_Angle,0.00026418582385162977
Gaze_Point_Distance,0.0002451067948986332
Angular_Difference_X,0.00024352363188629464
World_Gaze_Direction_R_Z,0.00019413812236854342
Delta_Gaze_X,0.00019181080572557924
Normalized_Vergence_Angle,0.00017641530307606416
Ratio_Delta_Gaze_XY,0.00017564698279973358
World_Gaze_Direction_L_Y,0.00017249521048214478
Gaze_Point_Euclidean_Distance,0.00017058114298594795
Gaze_Point_Depth_Difference,0.00015117831826827054
World_Gaze_Direction_R_X,0.0001466870478866979
Gaze_Vector_Angle,0.00014132493930434073
Gaze_Direction_Z_Ratio,0.00013724203839483566
World_Gaze_Direction_R_Y,0.00013686355723853448
Angular_Difference_Gaze_Directions,0.0001345887229374731
Ratio_World_Gaze_Direction_X,0.00013289451590917366
World_Gaze_Direction_L_X,0.00013240840423090164
Delta_Gaze_Y,0.00013192222469532948
Vergence_Angle,0.00013159433610549864
Gaze_Direction_X_Ratio,0.00011369002523970654
Vergence_Depth,0.000110443419389558
Ratio_World_Gaze_Direction_Y,0.00010692323053582694
Gaze_Direction_Y_Ratio,9.668465925569409e-05
Ratio_Directional_Magnitude,8.55136277074492e-05
Directional_Magnitude_Ratio,8.543197174295802e-05
Ratio_World_Gaze_Direction_Z,7.628320816617641e-05
Directional_Magnitude_L,7.03215157407905e-05
Delta_Gaze_Z,6.663741280629204e-05
World_Gaze_Direction_L_Z,6.092905593168347e-05
Directional_Magnitude_R,4.933461624595077e-05
Velocity_Gaze_Direction_R_X,3.0130660529573018e-05
Relative_Change_Vergence_Angle,2.6738294756221916e-05
Acceleration_Gaze_Direction_R_X,2.1973224719948844e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
