feature,attribution
Ratio_Directional_Magnitude,0.50000185
Directional_Magnitude_L,0.5000017
Relative_Change_Vergence_Angle,0.5000017
Vergence_Angle,0.50000167
Delta_Gaze_Y,0.5000016
World_Gaze_Direction_R_Z,0.5000015
World_Gaze_Direction_L_Z,0.5000014
Ratio_World_Gaze_Direction_Z,0.5000014
World_Gaze_Origin_R_Z,0.5000012
Delta_Gaze_Z,0.50000113
Vergence_Depth,0.5000011
World_Gaze_Direction_L_Y,0.500001
Gaze_Direction_X_Ratio,0.500001
Velocity_Gaze_Direction_R_X,0.500001
World_Gaze_Origin_L_Z,0.5000009
World_Gaze_Direction_R_Y,0.5000009
Acceleration_Gaze_Direction_R_X,0.5000009
World_Gaze_Origin_L_X,0.5000008
Ratio_World_Gaze_Direction_Y,0.5000008
Gaze_Direction_Angle,0.5000007
Angular_Difference_Gaze_Directions,0.5000007
Directional_Magnitude_R,0.50000066
Gaze_Point_Euclidean_Distance,0.50000066
Normalized_Vergence_Angle,0.50000066
Gaze_Point_Depth_Difference,0.5000006
Gaze_Direction_Y_Ratio,0.5000006
Gaze_Direction_Z_Ratio,0.5000005
Cosine_Angles,0.5000004
Delta_Gaze_X,0.5000004
World_Gaze_Direction_R_X,0.5000004
Gaze_Vector_Angle,0.5000004
Angular_Difference_X,0.50000036
World_Gaze_Direction_L_X,0.5000003
Ratio_Delta_Gaze_XY,0.50000024
Directional_Magnitude_Ratio,0.5000001
Ratio_World_Gaze_Direction_X,0.4999999
Gaze_Point_Distance,0.49999955
World_Gaze_Origin_R_X,0.49999955
