feature,attribution
Vergence_Depth,0.5262464
World_Gaze_Direction_R_Y,0.5242262
Gaze_Point_Euclidean_Distance,0.5144516
Delta_Gaze_Z,0.5112583
World_Gaze_Direction_L_Y,0.50813144
Ratio_Delta_Gaze_XY,0.5057014
Ratio_Directional_Magnitude,0.5037571
Angular_Difference_Gaze_Directions,0.5025825
Acceleration_Gaze_Direction_R_X,0.5001043
Vergence_Angle,0.49928188
Angular_Difference_X,0.49650905
World_Gaze_Origin_L_Z,0.4953817
Directional_Magnitude_L,0.49510875
Normalized_Vergence_Angle,0.49468398
Relative_Change_Vergence_Angle,0.4943775
Ratio_World_Gaze_Direction_Z,0.49320427
World_Gaze_Direction_R_Z,0.49280497
Velocity_Gaze_Direction_R_X,0.49244076
Ratio_World_Gaze_Direction_X,0.492146
World_Gaze_Direction_L_X,0.4914983
World_Gaze_Direction_R_X,0.49033573
Ratio_World_Gaze_Direction_Y,0.48727444
Cosine_Angles,0.48520833
World_Gaze_Direction_L_Z,0.48497203
World_Gaze_Origin_L_X,0.48137763
Directional_Magnitude_R,0.47991157
World_Gaze_Origin_R_X,0.47963744
Gaze_Direction_Y_Ratio,0.471923
Gaze_Vector_Angle,0.47083908
Gaze_Direction_X_Ratio,0.47051132
Gaze_Direction_Angle,0.47000754
Delta_Gaze_X,0.46427622
Gaze_Direction_Z_Ratio,0.46033382
Gaze_Point_Depth_Difference,0.45867318
Delta_Gaze_Y,0.45703438
World_Gaze_Origin_R_Z,0.45110604
Directional_Magnitude_Ratio,0.44637024
Gaze_Point_Distance,0.44170466
