feature,attribution
Ratio_Directional_Magnitude,0.51199
Relative_Change_Vergence_Angle,0.5090385
World_Gaze_Direction_L_Y,0.50874007
Gaze_Direction_Z_Ratio,0.50791484
World_Gaze_Origin_R_X,0.50694424
Directional_Magnitude_R,0.5063678
Normalized_Vergence_Angle,0.5057635
Ratio_World_Gaze_Direction_Z,0.5052224
Ratio_World_Gaze_Direction_Y,0.5047726
Gaze_Direction_Y_Ratio,0.5043334
World_Gaze_Direction_L_Z,0.5037481
Gaze_Direction_Angle,0.5032353
Delta_Gaze_Z,0.50190455
Gaze_Point_Distance,0.5017937
Ratio_World_Gaze_Direction_X,0.5017765
Velocity_Gaze_Direction_R_X,0.50161636
Angular_Difference_X,0.50122654
Angular_Difference_Gaze_Directions,0.5010584
Directional_Magnitude_L,0.50094265
Gaze_Point_Euclidean_Distance,0.5009214
Delta_Gaze_X,0.5008033
Gaze_Point_Depth_Difference,0.50035346
Gaze_Direction_X_Ratio,0.49960202
Acceleration_Gaze_Direction_R_X,0.49934995
Vergence_Depth,0.4992794
World_Gaze_Direction_R_Y,0.4979391
World_Gaze_Direction_L_X,0.49773812
Cosine_Angles,0.49711698
Gaze_Vector_Angle,0.49682155
Vergence_Angle,0.49673256
World_Gaze_Origin_L_Z,0.49661407
Directional_Magnitude_Ratio,0.49606726
World_Gaze_Origin_R_Z,0.49564663
Delta_Gaze_Y,0.49483907
World_Gaze_Direction_R_Z,0.49446654
World_Gaze_Origin_L_X,0.49417153
World_Gaze_Direction_R_X,0.48990065
Ratio_Delta_Gaze_XY,0.48946357
