feature,attribution
Velocity_Gaze_Direction_R_X,0.22109877
Normalized_Vergence_Angle,0.19974095
World_Gaze_Direction_R_Z,0.18283442
Ratio_Directional_Magnitude,0.16825199
Gaze_Point_Depth_Difference,0.1614327
Delta_Gaze_Y,0.16117224
Ratio_Delta_Gaze_XY,0.15254146
Gaze_Direction_X_Ratio,0.14927049
Relative_Change_Vergence_Angle,0.14791
Vergence_Depth,0.14574271
World_Gaze_Direction_R_Y,0.14343174
Cosine_Angles,0.13996296
Directional_Magnitude_R,0.13877867
Vergence_Angle,0.13066912
Gaze_Direction_Y_Ratio,0.13001706
Ratio_World_Gaze_Direction_Z,0.1273959
Gaze_Direction_Angle,0.12110632
Gaze_Point_Distance,0.11979614
Angular_Difference_Gaze_Directions,0.1187269
Angular_Difference_X,0.11866438
World_Gaze_Direction_L_X,0.11858513
Directional_Magnitude_Ratio,0.117369846
World_Gaze_Origin_L_Z,0.11613819
World_Gaze_Direction_L_Y,0.113711566
Ratio_World_Gaze_Direction_X,0.113440104
Gaze_Point_Euclidean_Distance,0.11199873
Delta_Gaze_X,0.10868639
Ratio_World_Gaze_Direction_Y,0.1073927
World_Gaze_Origin_L_X,0.10425975
World_Gaze_Direction_R_X,0.10179155
Acceleration_Gaze_Direction_R_X,0.10139911
Directional_Magnitude_L,0.10047432
Delta_Gaze_Z,0.098359115
World_Gaze_Direction_L_Z,0.09802517
World_Gaze_Origin_R_X,0.09515576
Gaze_Vector_Angle,0.09466538
Gaze_Direction_Z_Ratio,0.08433951
World_Gaze_Origin_R_Z,0.08200648
