feature,attribution
Gaze_Direction_Y_Ratio,0.55921936
Gaze_Direction_Angle,0.55804497
World_Gaze_Origin_R_X,0.5522348
Cosine_Angles,0.54480755
Delta_Gaze_Y,0.5393113
Gaze_Point_Depth_Difference,0.5360171
World_Gaze_Direction_L_Z,0.53456
Gaze_Direction_X_Ratio,0.53432906
World_Gaze_Direction_L_X,0.53376967
World_Gaze_Origin_R_Z,0.5311746
Directional_Magnitude_R,0.5297392
Vergence_Angle,0.52612656
Directional_Magnitude_L,0.5236296
Ratio_World_Gaze_Direction_Y,0.5230226
Gaze_Point_Distance,0.52281797
World_Gaze_Direction_L_Y,0.519114
Ratio_Directional_Magnitude,0.5191093
Gaze_Point_Euclidean_Distance,0.5190977
Gaze_Direction_Z_Ratio,0.51886964
Ratio_Delta_Gaze_XY,0.51838297
World_Gaze_Origin_L_Z,0.5171734
Relative_Change_Vergence_Angle,0.51559603
Angular_Difference_X,0.51394635
Normalized_Vergence_Angle,0.5113743
World_Gaze_Direction_R_X,0.5108232
Gaze_Vector_Angle,0.5105409
Ratio_World_Gaze_Direction_Z,0.50965536
Vergence_Depth,0.5073406
Delta_Gaze_Z,0.50040996
Delta_Gaze_X,0.4988718
World_Gaze_Direction_R_Y,0.49785796
Angular_Difference_Gaze_Directions,0.49751633
World_Gaze_Origin_L_X,0.49567142
Velocity_Gaze_Direction_R_X,0.49433333
Directional_Magnitude_Ratio,0.48931733
World_Gaze_Direction_R_Z,0.48470092
Acceleration_Gaze_Direction_R_X,0.48299208
Ratio_World_Gaze_Direction_X,0.48238233
