feature,attribution
Cosine_Angles,0.0011951763
Angular_Difference_X,0.00094862364
Ratio_World_Gaze_Direction_X,0.00087534025
Gaze_Point_Depth_Difference,0.00085746363
Directional_Magnitude_L,0.00075462105
World_Gaze_Direction_R_Y,0.0007270183
Angular_Difference_Gaze_Directions,0.0006171048
Directional_Magnitude_Ratio,0.0005422883
World_Gaze_Origin_R_Z,0.00053494255
Vergence_Angle,0.00052160193
Ratio_World_Gaze_Direction_Z,0.0004883343
World_Gaze_Direction_R_Z,0.00042507434
Gaze_Direction_Z_Ratio,0.00039743126
Gaze_Point_Euclidean_Distance,0.00032250508
Gaze_Direction_X_Ratio,0.00027804176
Relative_Change_Vergence_Angle,0.00011931773
Directional_Magnitude_R,7.711072e-05
Ratio_Directional_Magnitude,1.1422555e-05
Delta_Gaze_X,1.176016e-06
Gaze_Point_Distance,-5.9627215e-05
Acceleration_Gaze_Direction_R_X,-0.00012114284
Ratio_Delta_Gaze_XY,-0.00014110362
World_Gaze_Direction_L_Z,-0.0002693371
World_Gaze_Direction_R_X,-0.00027942483
World_Gaze_Origin_R_X,-0.0002843698
World_Gaze_Direction_L_Y,-0.00035846475
Ratio_World_Gaze_Direction_Y,-0.00041918727
Normalized_Vergence_Angle,-0.00052763784
World_Gaze_Direction_L_X,-0.0005351336
World_Gaze_Origin_L_X,-0.0005657526
Gaze_Vector_Angle,-0.00059240207
World_Gaze_Origin_L_Z,-0.00088306976
Gaze_Direction_Y_Ratio,-0.00095292955
Velocity_Gaze_Direction_R_X,-0.0010114266
Delta_Gaze_Z,-0.0014301017
Delta_Gaze_Y,-0.0014773937
Vergence_Depth,-0.0015352399
Gaze_Direction_Angle,-0.0021815388
