feature,attribution
World_Gaze_Origin_R_Z,0.526455
Cosine_Angles,0.5227133
World_Gaze_Direction_L_Y,0.51605433
Ratio_Directional_Magnitude,0.51530576
Directional_Magnitude_Ratio,0.5116357
Vergence_Angle,0.5113356
Gaze_Point_Depth_Difference,0.5110959
World_Gaze_Direction_R_Z,0.5076603
Delta_Gaze_Y,0.50670576
Normalized_Vergence_Angle,0.50599146
Ratio_World_Gaze_Direction_Y,0.50585175
Ratio_World_Gaze_Direction_X,0.5035387
Velocity_Gaze_Direction_R_X,0.50175714
Directional_Magnitude_R,0.50136626
Gaze_Direction_Angle,0.50078666
World_Gaze_Origin_R_X,0.49975276
World_Gaze_Origin_L_Z,0.49935207
Ratio_World_Gaze_Direction_Z,0.49929234
Ratio_Delta_Gaze_XY,0.49921066
Angular_Difference_Gaze_Directions,0.49803996
Gaze_Point_Euclidean_Distance,0.49638557
Relative_Change_Vergence_Angle,0.49539727
World_Gaze_Direction_R_X,0.49093154
Delta_Gaze_X,0.4897623
Gaze_Vector_Angle,0.48932418
Acceleration_Gaze_Direction_R_X,0.488972
Delta_Gaze_Z,0.48889607
Gaze_Direction_Z_Ratio,0.48864567
Gaze_Direction_Y_Ratio,0.48827264
Angular_Difference_X,0.48775956
World_Gaze_Direction_R_Y,0.48360035
Directional_Magnitude_L,0.4834687
World_Gaze_Direction_L_X,0.48317668
World_Gaze_Direction_L_Z,0.48040962
Vergence_Depth,0.47718704
Gaze_Point_Distance,0.46939537
Gaze_Direction_X_Ratio,0.4680349
World_Gaze_Origin_L_X,0.46375358
