feature,attribution
Vergence_Angle,0.52484584
World_Gaze_Direction_L_Z,0.52122533
Gaze_Vector_Angle,0.5206644
Acceleration_Gaze_Direction_R_X,0.51310325
Angular_Difference_X,0.5108224
Delta_Gaze_Y,0.5108106
Normalized_Vergence_Angle,0.51007384
Delta_Gaze_X,0.5082824
Gaze_Direction_X_Ratio,0.5070514
Cosine_Angles,0.5062101
Delta_Gaze_Z,0.5038781
Gaze_Direction_Y_Ratio,0.5033432
Directional_Magnitude_Ratio,0.50271004
Velocity_Gaze_Direction_R_X,0.50069284
World_Gaze_Direction_L_Y,0.49883252
Ratio_Delta_Gaze_XY,0.49783283
Gaze_Direction_Angle,0.4973397
World_Gaze_Origin_L_X,0.49624276
Vergence_Depth,0.4961912
Ratio_World_Gaze_Direction_X,0.4961782
Gaze_Point_Distance,0.49463296
Ratio_World_Gaze_Direction_Y,0.49376267
World_Gaze_Direction_R_Y,0.49357042
Relative_Change_Vergence_Angle,0.4929331
Directional_Magnitude_R,0.49278903
World_Gaze_Origin_L_Z,0.49251136
World_Gaze_Origin_R_Z,0.4923909
Gaze_Point_Euclidean_Distance,0.49210683
Ratio_World_Gaze_Direction_Z,0.4899226
World_Gaze_Origin_R_X,0.4895208
Ratio_Directional_Magnitude,0.488663
Angular_Difference_Gaze_Directions,0.48617652
Gaze_Point_Depth_Difference,0.48488763
World_Gaze_Direction_R_X,0.484317
Directional_Magnitude_L,0.48399553
World_Gaze_Direction_L_X,0.4824073
World_Gaze_Direction_R_Z,0.47897035
Gaze_Direction_Z_Ratio,0.46780312
