feature,attribution
Vergence_Depth,0.00017974434261517323
Gaze_Direction_X_Ratio,0.0001629050683113619
Angular_Difference_Gaze_Directions,0.00015651225224396113
World_Gaze_Direction_L_Y,0.00014603960373484317
Gaze_Vector_Angle,0.00014416772266304654
Cosine_Angles,0.00014189446463392432
Vergence_Angle,0.0001376861669372857
Gaze_Direction_Y_Ratio,0.0001367626660230525
Gaze_Point_Distance,0.00013360929505536849
Delta_Gaze_Y,0.00013317229206932294
World_Gaze_Direction_L_Z,0.00013038575913969631
Gaze_Direction_Angle,0.00012967467608179589
World_Gaze_Direction_R_Y,0.00012643262520137494
Angular_Difference_X,0.0001246157069720657
World_Gaze_Direction_L_X,0.0001245488578156169
Gaze_Direction_Z_Ratio,0.00012333637083180912
Gaze_Point_Euclidean_Distance,0.00012075188351348874
Ratio_Directional_Magnitude,0.00012060340563005474
World_Gaze_Direction_R_Z,0.00011947903383054069
Directional_Magnitude_Ratio,0.00011802556679946768
Ratio_World_Gaze_Direction_X,0.00011412488342170137
Ratio_World_Gaze_Direction_Z,0.0001137886943341041
Normalized_Vergence_Angle,0.00011330658831250252
Ratio_World_Gaze_Direction_Y,0.00011020743843021574
Delta_Gaze_Z,0.00010950881888539441
Directional_Magnitude_R,0.0001088627623541498
Delta_Gaze_X,0.00010796535063878578
Gaze_Point_Depth_Difference,0.0001071948328143095
World_Gaze_Direction_R_X,9.204411220481327e-05
Ratio_Delta_Gaze_XY,8.673157368314052e-05
Directional_Magnitude_L,7.56156703523576e-05
Relative_Change_Vergence_Angle,6.929493272181317e-05
Velocity_Gaze_Direction_R_X,6.630047215658373e-05
Acceleration_Gaze_Direction_R_X,4.744777876126322e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
