feature,attribution
Angular_Difference_X,3.069204593810888e-08
Vergence_Angle,2.7310999426401536e-08
World_Gaze_Direction_R_Z,2.1980786229190133e-08
Gaze_Direction_Y_Ratio,1.9314426413521617e-08
Normalized_Vergence_Angle,1.7103881910692586e-08
Gaze_Direction_Angle,1.682380122421048e-08
Ratio_World_Gaze_Direction_X,1.6731022748698553e-08
Cosine_Angles,1.6306297311313648e-08
World_Gaze_Direction_L_Z,1.6281458312543808e-08
Gaze_Direction_X_Ratio,1.623085024910366e-08
World_Gaze_Direction_R_Y,1.5880778327668297e-08
Ratio_World_Gaze_Direction_Z,1.565002315393101e-08
Delta_Gaze_Z,1.558199495049958e-08
World_Gaze_Direction_L_Y,1.5538341801185406e-08
World_Gaze_Direction_L_X,1.553017753387846e-08
Gaze_Point_Euclidean_Distance,1.5419416740778164e-08
Ratio_World_Gaze_Direction_Y,1.4771097373452973e-08
Vergence_Depth,1.469058634672845e-08
Gaze_Point_Distance,1.4554137853280038e-08
Gaze_Vector_Angle,1.3875939665407587e-08
Gaze_Direction_Z_Ratio,1.3760648930674243e-08
Angular_Difference_Gaze_Directions,1.2556977216135533e-08
Ratio_Delta_Gaze_XY,1.077078301979414e-08
Delta_Gaze_X,1.053506396678372e-08
Delta_Gaze_Y,1.0089087480944703e-08
World_Gaze_Direction_R_X,9.282131134839521e-09
Directional_Magnitude_R,7.370443309767505e-09
Directional_Magnitude_Ratio,7.260811318182764e-09
Ratio_Directional_Magnitude,6.963341650918411e-09
Gaze_Point_Depth_Difference,6.035937516991117e-09
Directional_Magnitude_L,5.7965133132929886e-09
Relative_Change_Vergence_Angle,2.9872669649464886e-09
Velocity_Gaze_Direction_R_X,2.047751961195985e-09
Acceleration_Gaze_Direction_R_X,1.5483036983000376e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
