feature,attribution
Directional_Magnitude_L,0.0014904136
Directional_Magnitude_R,0.00089759135
World_Gaze_Direction_R_X,0.0008970295
World_Gaze_Origin_L_X,0.00085708284
Gaze_Point_Distance,0.0007168357
Gaze_Direction_Angle,0.0006536249
Gaze_Vector_Angle,0.0006506403
Angular_Difference_Gaze_Directions,0.0006205423
Gaze_Point_Depth_Difference,0.0006194964
World_Gaze_Direction_R_Y,0.0005654323
World_Gaze_Origin_R_X,0.00045104272
Velocity_Gaze_Direction_R_X,0.00035170506
Gaze_Direction_Y_Ratio,0.0003379134
Ratio_World_Gaze_Direction_X,0.00032085282
Directional_Magnitude_Ratio,0.00029794005
Ratio_World_Gaze_Direction_Z,0.00015112656
World_Gaze_Origin_R_Z,8.487839e-05
Gaze_Direction_Z_Ratio,7.6814365e-05
Normalized_Vergence_Angle,5.6034634e-05
Ratio_Directional_Magnitude,1.5754444e-05
Vergence_Depth,-3.5525765e-05
Delta_Gaze_Z,-4.1322914e-05
Cosine_Angles,-4.7788537e-05
Angular_Difference_X,-0.00011169242
Delta_Gaze_Y,-0.00018718053
Acceleration_Gaze_Direction_R_X,-0.00024558062
World_Gaze_Origin_L_Z,-0.00026946992
Relative_Change_Vergence_Angle,-0.00027459319
Gaze_Point_Euclidean_Distance,-0.00028355233
World_Gaze_Direction_L_Z,-0.00034367674
Delta_Gaze_X,-0.00037044357
World_Gaze_Direction_L_Y,-0.00064821594
World_Gaze_Direction_L_X,-0.0006855941
Ratio_World_Gaze_Direction_Y,-0.00073592155
Gaze_Direction_X_Ratio,-0.00074367016
World_Gaze_Direction_R_Z,-0.0010069446
Ratio_Delta_Gaze_XY,-0.0014847979
Vergence_Angle,-0.0015161948
