feature,attribution
Gaze_Direction_Z_Ratio,0.015338996
Acceleration_Gaze_Direction_R_Y,0.01502888
Acceleration_Gaze_Direction_L_X,0.013027534
Relative_Change_Vergence_Angle,0.012693219
Normalized_Depth,0.012047083
Ratio_Directional_Magnitude,0.011934407
Gaze_Vector_Angle,0.011025824
Velocity_Gaze_Direction_L_Z,0.010806344
Gaze_Direction_Angle,0.009547267
Ratio_World_Gaze_Direction_Y,0.009022403
Gaze_Point_Distance,0.008738312
Delta_Gaze_X,0.0083379
Ratio_World_Gaze_Direction_X,0.006938441
Interaction_Normalized_Depth_Vergence_Angle,0.006554003
Gaze_Direction_Y_Ratio,0.005835078
Vergence_Angle,0.005712138
World_Gaze_Direction_L_X,0.005051562
Acceleration_Gaze_Direction_R_Z,0.0046526133
Velocity_Gaze_Direction_R_Y,0.0042991736
Ratio_World_Gaze_Direction_Z,0.0032189672
Gaze_Point_Euclidean_Distance,0.0028630798
Velocity_Gaze_Direction_L_X,0.00284795
World_Gaze_Direction_R_Y,0.0021921562
Rolling_Mean_Normalized_Depth,0.0020867537
World_Gaze_Origin_R_Z,0.0019273864
Delta_Gaze_Y,-0.00017656358
Delta_Gaze_Z,-0.00030098212
Lag_1_Normalized_Depth,-0.0003548417
Vergence_Depth,-0.0005575389
Directional_Magnitude_L,-0.0007535387
Acceleration_Gaze_Direction_L_Z,-0.00091317255
World_Gaze_Direction_R_X,-0.0014492227
World_Gaze_Origin_L_Z,-0.002095711
Directional_Magnitude_Ratio,-0.002612888
Angular_Difference_Gaze_Directions,-0.0028189595
Depth_Angle_Interaction,-0.0042393976
Gaze_Direction_X_Ratio,-0.004326685
Directional_Magnitude_R,-0.004346045
Normalized_Vergence_Angle,-0.005169902
Acceleration_Gaze_Direction_L_Y,-0.006267713
World_Gaze_Origin_L_X,-0.0072715613
Acceleration_Gaze_Direction_R_X,-0.007830358
Angular_Difference_X,-0.008075438
Cosine_Angles,-0.008327499
Ratio_Delta_Gaze_XY,-0.008353604
Velocity_Gaze_Direction_R_Z,-0.008507369
Diff_Normalized_Depth,-0.0089284405
Velocity_Gaze_Direction_R_X,-0.011614178
Velocity_Gaze_Direction_L_Y,-0.012041218
World_Gaze_Origin_R_X,-0.012246143
World_Gaze_Direction_L_Y,-0.012525408
World_Gaze_Direction_R_Z,-0.014797805
World_Gaze_Direction_L_Z,-0.015898205
Gaze_Point_Depth_Difference,-0.016455036
