feature,attribution
Velocity_Gaze_Direction_R_X,0.006824777
Directional_Magnitude_L,0.006269224
Ratio_World_Gaze_Direction_Z,0.0059328717
Ratio_Delta_Gaze_XY,0.0052534323
Delta_Gaze_Z,0.005163382
Directional_Magnitude_R,0.004634552
World_Gaze_Direction_L_X,0.004628352
Acceleration_Gaze_Direction_R_X,0.004628038
World_Gaze_Direction_R_Y,0.0043936837
Delta_Gaze_X,0.0043407823
Gaze_Direction_X_Ratio,0.0040967236
Angular_Difference_Gaze_Directions,0.0039979564
Vergence_Depth,0.0039653652
Cosine_Angles,0.0038880978
World_Gaze_Direction_L_Z,0.0038597737
World_Gaze_Direction_R_Z,0.0038375221
Gaze_Point_Distance,0.003584146
Directional_Magnitude_Ratio,0.0034093081
Ratio_World_Gaze_Direction_X,0.0033818893
World_Gaze_Direction_R_X,0.0031522547
Gaze_Direction_Y_Ratio,0.0029662906
Ratio_Directional_Magnitude,0.0029574062
Gaze_Direction_Z_Ratio,0.0029488115
Angular_Difference_X,0.0026863038
Vergence_Angle,0.00256739
World_Gaze_Direction_L_Y,0.0025057318
Ratio_World_Gaze_Direction_Y,0.0024911626
Gaze_Direction_Angle,0.0023466675
Gaze_Point_Depth_Difference,0.0022481724
Gaze_Vector_Angle,0.0022099614
Gaze_Point_Euclidean_Distance,0.0021727337
Delta_Gaze_Y,0.0021193968
Normalized_Vergence_Angle,0.0018324056
Relative_Change_Vergence_Angle,0.0015235079
