feature,attribution
Velocity_Gaze_Direction_R_X,0.13787293
Ratio_World_Gaze_Direction_Z,0.11087737
Directional_Magnitude_L,0.09560124
Ratio_Delta_Gaze_XY,0.087150805
Delta_Gaze_Z,0.06612769
Gaze_Direction_X_Ratio,0.061443202
World_Gaze_Direction_R_Y,0.05841722
Delta_Gaze_X,0.05454174
Angular_Difference_Gaze_Directions,0.05139983
World_Gaze_Direction_L_X,0.05041954
Vergence_Depth,0.0486272
World_Gaze_Direction_R_Z,0.04714596
Directional_Magnitude_R,0.044317875
Directional_Magnitude_Ratio,0.037751444
World_Gaze_Direction_L_Z,0.03707221
Acceleration_Gaze_Direction_R_X,0.03558481
Cosine_Angles,0.031285465
Ratio_World_Gaze_Direction_X,0.03018948
World_Gaze_Direction_R_X,0.029038662
Gaze_Point_Distance,0.025487103
Ratio_Directional_Magnitude,0.024174808
Angular_Difference_X,0.022362638
Gaze_Direction_Y_Ratio,0.018282566
Vergence_Angle,0.016948652
Gaze_Direction_Z_Ratio,0.016401531
World_Gaze_Direction_L_Y,0.014861411
Gaze_Point_Euclidean_Distance,0.013314194
Ratio_World_Gaze_Direction_Y,0.012413451
Gaze_Vector_Angle,0.011183802
Gaze_Direction_Angle,0.010778062
Gaze_Point_Depth_Difference,0.010279453
Delta_Gaze_Y,0.008603669
Normalized_Vergence_Angle,0.0050934535
Relative_Change_Vergence_Angle,0.0027083266
