feature,attribution
Acceleration_Gaze_Direction_R_X,1.5974004e-07
Velocity_Gaze_Direction_R_X,1.5974004e-07
Ratio_Delta_Gaze_XY,1.5974004e-07
Ratio_Directional_Magnitude,1.5974004e-07
Ratio_World_Gaze_Direction_X,1.5974004e-07
Ratio_World_Gaze_Direction_Y,1.5974004e-07
Ratio_World_Gaze_Direction_Z,1.5974004e-07
Relative_Change_Vergence_Angle,1.5974004e-07
Vergence_Angle,1.5974004e-07
Angular_Difference_Gaze_Directions,1.5974004e-07
Vergence_Depth,1.5974004e-07
World_Gaze_Direction_L_X,1.5974004e-07
World_Gaze_Direction_L_Y,1.5974004e-07
World_Gaze_Direction_L_Z,1.5974004e-07
World_Gaze_Direction_R_X,1.5974004e-07
World_Gaze_Direction_R_Y,1.5974004e-07
Normalized_Vergence_Angle,1.5974004e-07
Gaze_Vector_Angle,1.5974004e-07
Gaze_Point_Euclidean_Distance,1.5974004e-07
Gaze_Point_Distance,1.5974004e-07
Gaze_Point_Depth_Difference,1.5974004e-07
Gaze_Direction_Z_Ratio,1.5974004e-07
Gaze_Direction_Y_Ratio,1.5974004e-07
Gaze_Direction_X_Ratio,1.5974004e-07
Gaze_Direction_Angle,1.5974004e-07
Directional_Magnitude_Ratio,1.5974004e-07
Directional_Magnitude_R,1.5974004e-07
Directional_Magnitude_L,1.5974004e-07
Delta_Gaze_Z,1.5974004e-07
Delta_Gaze_Y,1.5974004e-07
Delta_Gaze_X,1.5974004e-07
Cosine_Angles,1.5974004e-07
Angular_Difference_X,1.5974004e-07
World_Gaze_Direction_R_Z,1.5974004e-07
