feature,attribution
Vergence_Angle,0.5782933
World_Gaze_Direction_L_X,0.54077375
Normalized_Vergence_Angle,0.53352743
Gaze_Point_Euclidean_Distance,0.53191984
Gaze_Direction_Z_Ratio,0.52819264
World_Gaze_Direction_R_X,0.52344215
Vergence_Depth,0.51891804
Gaze_Direction_X_Ratio,0.51887363
Ratio_Delta_Gaze_XY,0.51615196
World_Gaze_Direction_R_Z,0.5146027
Angular_Difference_Gaze_Directions,0.51247984
Delta_Gaze_Y,0.5096754
World_Gaze_Direction_L_Y,0.50798887
Ratio_World_Gaze_Direction_X,0.5078065
World_Gaze_Direction_L_Z,0.5054687
Velocity_Gaze_Direction_R_X,0.5046653
Cosine_Angles,0.5006245
Delta_Gaze_X,0.500374
Gaze_Direction_Angle,0.49932545
Ratio_Directional_Magnitude,0.4960327
Gaze_Vector_Angle,0.4950991
Directional_Magnitude_Ratio,0.49446028
Ratio_World_Gaze_Direction_Z,0.49381196
Directional_Magnitude_R,0.4918036
Acceleration_Gaze_Direction_R_X,0.49100274
Gaze_Point_Depth_Difference,0.4900127
Ratio_World_Gaze_Direction_Y,0.4884662
Relative_Change_Vergence_Angle,0.48792592
World_Gaze_Direction_R_Y,0.48636645
Gaze_Direction_Y_Ratio,0.48625198
Directional_Magnitude_L,0.4847638
Angular_Difference_X,0.48402405
Gaze_Point_Distance,0.48230398
Delta_Gaze_Z,0.4583163
