feature,attribution
World_Gaze_Direction_L_X,0.0017569927
Gaze_Direction_Z_Ratio,0.0016815152
World_Gaze_Direction_L_Y,0.0015885889
Ratio_Delta_Gaze_XY,0.0014465789
Gaze_Point_Euclidean_Distance,0.0012646125
World_Gaze_Direction_R_Z,0.0012375157
Ratio_World_Gaze_Direction_Y,0.0011823548
Vergence_Angle,0.0011720802
World_Gaze_Direction_L_Z,0.0011703536
Gaze_Point_Depth_Difference,0.0011656118
Delta_Gaze_Y,0.0011624617
Ratio_World_Gaze_Direction_Z,0.0011316916
Vergence_Depth,0.0010422398
Delta_Gaze_Z,0.0010337688
World_Gaze_Direction_R_X,0.0010243105
Gaze_Direction_X_Ratio,0.0010241861
Ratio_World_Gaze_Direction_X,0.0009955565
Normalized_Vergence_Angle,0.00095742266
Relative_Change_Vergence_Angle,0.0009438315
Gaze_Point_Distance,0.00091289124
Velocity_Gaze_Direction_R_X,0.00086842186
Cosine_Angles,0.0008450759
Angular_Difference_X,0.0008401901
Directional_Magnitude_L,0.0008395717
Gaze_Direction_Y_Ratio,0.0008348361
Angular_Difference_Gaze_Directions,0.0007794116
World_Gaze_Direction_R_Y,0.0007717054
Delta_Gaze_X,0.00071872596
Acceleration_Gaze_Direction_R_X,0.00067301333
Directional_Magnitude_R,0.000545162
Gaze_Direction_Angle,0.00045858143
Gaze_Vector_Angle,0.0004127776
Ratio_Directional_Magnitude,0.00028195287
Directional_Magnitude_Ratio,0.00017141018
