feature,attribution
Gaze_Direction_Z_Ratio,2.3601049e-06
World_Gaze_Direction_L_X,2.3292146e-06
World_Gaze_Direction_L_Y,1.9544434e-06
Ratio_Delta_Gaze_XY,1.5557122e-06
World_Gaze_Direction_R_Z,1.5454176e-06
Gaze_Point_Euclidean_Distance,1.4046527e-06
Delta_Gaze_Y,1.3779716e-06
Gaze_Point_Distance,1.2655746e-06
World_Gaze_Direction_L_Z,1.1920766e-06
Ratio_World_Gaze_Direction_Y,1.1673276e-06
Gaze_Point_Depth_Difference,1.1459517e-06
Ratio_World_Gaze_Direction_Z,1.0383294e-06
Delta_Gaze_Z,1.0232038e-06
Vergence_Angle,9.934869e-07
Normalized_Vergence_Angle,9.474824e-07
Vergence_Depth,9.0641754e-07
Gaze_Direction_X_Ratio,8.154333e-07
Directional_Magnitude_L,7.8942657e-07
Ratio_World_Gaze_Direction_X,7.756004e-07
World_Gaze_Direction_R_X,7.506205e-07
Angular_Difference_Gaze_Directions,7.4977265e-07
Relative_Change_Vergence_Angle,7.3948104e-07
Cosine_Angles,6.188758e-07
Angular_Difference_X,6.164294e-07
Velocity_Gaze_Direction_R_X,6.096583e-07
Gaze_Direction_Y_Ratio,5.8997153e-07
World_Gaze_Direction_R_Y,5.577701e-07
Directional_Magnitude_R,5.0402537e-07
Delta_Gaze_X,3.9899965e-07
Acceleration_Gaze_Direction_R_X,3.6261363e-07
Ratio_Directional_Magnitude,2.903352e-07
Gaze_Direction_Angle,2.5768574e-07
Gaze_Vector_Angle,2.0029982e-07
Directional_Magnitude_Ratio,1.2988548e-07
