feature,attribution
Gaze_Direction_Z_Ratio,0.01720246
World_Gaze_Direction_L_X,0.016964676
World_Gaze_Direction_L_Y,0.014705664
Ratio_Delta_Gaze_XY,0.011637846
World_Gaze_Direction_R_Z,0.011145899
Delta_Gaze_Y,0.010411837
Gaze_Point_Euclidean_Distance,0.010254754
World_Gaze_Direction_L_Z,0.008758077
Gaze_Point_Distance,0.008699565
Ratio_World_Gaze_Direction_Y,0.008654628
Gaze_Point_Depth_Difference,0.008533462
Ratio_World_Gaze_Direction_Z,0.007879634
Delta_Gaze_Z,0.007675803
Vergence_Angle,0.0072111846
Vergence_Depth,0.006816385
Normalized_Vergence_Angle,0.006777112
Gaze_Direction_X_Ratio,0.006267747
Directional_Magnitude_L,0.006032616
Ratio_World_Gaze_Direction_X,0.005857436
World_Gaze_Direction_R_X,0.005720211
Relative_Change_Vergence_Angle,0.0056554433
Angular_Difference_Gaze_Directions,0.0053101555
Velocity_Gaze_Direction_R_X,0.004669668
Cosine_Angles,0.0045935935
Angular_Difference_X,0.0045844875
Gaze_Direction_Y_Ratio,0.0044450224
World_Gaze_Direction_R_Y,0.0042459946
Directional_Magnitude_R,0.0036643092
Delta_Gaze_X,0.0030556214
Acceleration_Gaze_Direction_R_X,0.00276935
Ratio_Directional_Magnitude,0.0022095134
Gaze_Direction_Angle,0.0018214843
Gaze_Vector_Angle,0.0014291035
Directional_Magnitude_Ratio,0.0010022523
