feature,attribution
Ratio_Directional_Magnitude,0.6818046
Ratio_Delta_Gaze_XY,0.556493
World_Gaze_Direction_L_Y,0.5492483
Normalized_Vergence_Angle,0.5419652
Angular_Difference_Gaze_Directions,0.53533334
Vergence_Angle,0.5297601
World_Gaze_Direction_R_Z,0.52659726
Delta_Gaze_Y,0.51938933
World_Gaze_Direction_L_Z,0.5037315
Cosine_Angles,0.49760523
World_Gaze_Direction_R_X,0.49410182
Gaze_Point_Depth_Difference,0.49388877
Directional_Magnitude_R,0.49240538
Gaze_Vector_Angle,0.48778704
Directional_Magnitude_Ratio,0.4877467
Vergence_Depth,0.4848864
Gaze_Direction_Angle,0.48316348
Ratio_World_Gaze_Direction_Y,0.48115855
Acceleration_Gaze_Direction_R_X,0.4799737
Ratio_World_Gaze_Direction_Z,0.4773779
Relative_Change_Vergence_Angle,0.4770798
Velocity_Gaze_Direction_R_X,0.4751512
Gaze_Point_Distance,0.47452646
World_Gaze_Direction_R_Y,0.47000054
Delta_Gaze_X,0.46969917
Angular_Difference_X,0.46405104
Ratio_World_Gaze_Direction_X,0.4637074
Gaze_Point_Euclidean_Distance,0.4628398
Gaze_Direction_Y_Ratio,0.45596978
Gaze_Direction_X_Ratio,0.4540067
Directional_Magnitude_L,0.4473196
World_Gaze_Direction_L_X,0.44320664
Gaze_Direction_Z_Ratio,0.43662235
Delta_Gaze_Z,0.42883205
