feature,attribution
World_Gaze_Direction_L_Y,6.1535966e-06
Gaze_Direction_Z_Ratio,3.940583e-06
World_Gaze_Direction_R_Z,3.8683106e-06
Delta_Gaze_Y,3.6193612e-06
Ratio_Delta_Gaze_XY,3.5038545e-06
Ratio_Directional_Magnitude,2.8392687e-06
Gaze_Point_Depth_Difference,2.7014119e-06
Ratio_World_Gaze_Direction_Z,2.6427358e-06
Normalized_Vergence_Angle,2.4766605e-06
World_Gaze_Direction_L_Z,2.4403712e-06
Gaze_Point_Distance,2.3875389e-06
Ratio_World_Gaze_Direction_Y,2.3524183e-06
Angular_Difference_Gaze_Directions,2.1816586e-06
World_Gaze_Direction_L_X,2.071793e-06
Gaze_Point_Euclidean_Distance,1.7993183e-06
Vergence_Angle,1.508312e-06
Cosine_Angles,1.4372513e-06
Ratio_World_Gaze_Direction_X,1.4175748e-06
Vergence_Depth,1.2830197e-06
Delta_Gaze_Z,1.1674009e-06
Relative_Change_Vergence_Angle,1.1476193e-06
World_Gaze_Direction_R_X,1.0892986e-06
Directional_Magnitude_L,9.0384503e-07
Gaze_Direction_X_Ratio,8.510318e-07
Directional_Magnitude_R,7.7464233e-07
World_Gaze_Direction_R_Y,7.4681554e-07
Gaze_Direction_Angle,6.7415664e-07
Acceleration_Gaze_Direction_R_X,6.548773e-07
Angular_Difference_X,6.4918237e-07
Gaze_Direction_Y_Ratio,6.1869144e-07
Velocity_Gaze_Direction_R_X,5.533674e-07
Delta_Gaze_X,5.1175493e-07
Gaze_Vector_Angle,3.8341523e-07
Directional_Magnitude_Ratio,2.1584522e-07
