feature,attribution
World_Gaze_Direction_L_Y,0.035139166
Gaze_Direction_Z_Ratio,0.02289366
World_Gaze_Direction_R_Z,0.022302298
Delta_Gaze_Y,0.021665983
Ratio_Delta_Gaze_XY,0.021212697
Ratio_Directional_Magnitude,0.016750691
Gaze_Point_Depth_Difference,0.015564092
Ratio_World_Gaze_Direction_Z,0.014856097
World_Gaze_Direction_L_Z,0.014141249
Normalized_Vergence_Angle,0.014139175
Ratio_World_Gaze_Direction_Y,0.013607371
Gaze_Point_Distance,0.01284479
Angular_Difference_Gaze_Directions,0.012080117
World_Gaze_Direction_L_X,0.01114235
Gaze_Point_Euclidean_Distance,0.009393141
Vergence_Angle,0.008263476
Cosine_Angles,0.008177223
Ratio_World_Gaze_Direction_X,0.007097273
Vergence_Depth,0.006406019
Delta_Gaze_Z,0.0059287003
Relative_Change_Vergence_Angle,0.0057314304
World_Gaze_Direction_R_X,0.00569692
Directional_Magnitude_L,0.0045221536
Gaze_Direction_X_Ratio,0.0040359213
Directional_Magnitude_R,0.0038126642
World_Gaze_Direction_R_Y,0.0034276077
Gaze_Direction_Angle,0.0031646695
Acceleration_Gaze_Direction_R_X,0.0029642307
Gaze_Direction_Y_Ratio,0.0027338434
Angular_Difference_X,0.0026666531
Velocity_Gaze_Direction_R_X,0.0021609832
Delta_Gaze_X,0.00212543
Gaze_Vector_Angle,0.0015480136
Directional_Magnitude_Ratio,0.00047977243
