feature,attribution
Gaze_Point_Euclidean_Distance,0.5579975
Normalized_Vergence_Angle,0.5422023
Angular_Difference_Gaze_Directions,0.53529215
Ratio_Directional_Magnitude,0.53189987
Vergence_Angle,0.5263939
World_Gaze_Direction_R_Z,0.51838076
World_Gaze_Direction_R_X,0.5105642
World_Gaze_Direction_L_Z,0.5037378
Delta_Gaze_Y,0.5022151
Gaze_Direction_Angle,0.4980211
Gaze_Direction_X_Ratio,0.49390596
World_Gaze_Direction_L_X,0.49128318
Directional_Magnitude_Ratio,0.4856973
Gaze_Vector_Angle,0.48488662
Ratio_Delta_Gaze_XY,0.4846357
Directional_Magnitude_R,0.4826019
Vergence_Depth,0.48139256
Gaze_Point_Distance,0.4784065
Velocity_Gaze_Direction_R_X,0.4764354
Gaze_Direction_Z_Ratio,0.47618055
Ratio_World_Gaze_Direction_Z,0.47223407
Acceleration_Gaze_Direction_R_X,0.47190621
Delta_Gaze_X,0.4715747
World_Gaze_Direction_L_Y,0.47080398
Ratio_World_Gaze_Direction_X,0.46785936
World_Gaze_Direction_R_Y,0.46361378
Angular_Difference_X,0.46216777
Gaze_Direction_Y_Ratio,0.46088105
Cosine_Angles,0.4584513
Relative_Change_Vergence_Angle,0.45786703
Directional_Magnitude_L,0.45354992
Ratio_World_Gaze_Direction_Y,0.45230043
Gaze_Point_Depth_Difference,0.438736
Delta_Gaze_Z,0.43095353
