feature,attribution
World_Gaze_Direction_L_Y,0.0020465753
World_Gaze_Direction_R_Z,0.0019773846
World_Gaze_Direction_L_X,0.0018237812
Gaze_Point_Euclidean_Distance,0.0018040631
Gaze_Direction_Z_Ratio,0.001722039
Ratio_Delta_Gaze_XY,0.0015628291
Delta_Gaze_Y,0.0015080553
World_Gaze_Direction_L_Z,0.0013937621
World_Gaze_Direction_R_X,0.0013520229
Normalized_Vergence_Angle,0.001296225
Angular_Difference_Gaze_Directions,0.0012038801
Ratio_World_Gaze_Direction_Y,0.0011850845
Ratio_World_Gaze_Direction_Z,0.0011723806
Gaze_Point_Depth_Difference,0.0011707419
Gaze_Point_Distance,0.0011620314
Vergence_Angle,0.0011457865
Vergence_Depth,0.0010903388
Gaze_Direction_X_Ratio,0.0010832238
Delta_Gaze_Z,0.0010305414
Ratio_World_Gaze_Direction_X,0.0010248738
Cosine_Angles,0.0009798429
Relative_Change_Vergence_Angle,0.00094109355
Velocity_Gaze_Direction_R_X,0.00086532603
Directional_Magnitude_L,0.0008499393
Gaze_Direction_Y_Ratio,0.00083533244
Angular_Difference_X,0.0008259569
World_Gaze_Direction_R_Y,0.00078461954
Delta_Gaze_X,0.0007243507
Gaze_Direction_Angle,0.00067555025
Acceleration_Gaze_Direction_R_X,0.0006727415
Ratio_Directional_Magnitude,0.0006700673
Directional_Magnitude_R,0.0005269564
Gaze_Vector_Angle,0.0004554919
Directional_Magnitude_Ratio,0.00018809095
