feature,attribution
World_Gaze_Direction_R_Z,3.274361e-06
World_Gaze_Direction_L_Y,3.0587853e-06
World_Gaze_Direction_L_X,2.6056832e-06
Gaze_Direction_Z_Ratio,2.3724137e-06
Gaze_Point_Distance,1.984508e-06
Gaze_Point_Euclidean_Distance,1.9773884e-06
Ratio_Delta_Gaze_XY,1.8050523e-06
Delta_Gaze_Y,1.5455773e-06
Normalized_Vergence_Angle,1.4826189e-06
Angular_Difference_Gaze_Directions,1.3768321e-06
World_Gaze_Direction_L_Z,1.352631e-06
Gaze_Point_Depth_Difference,1.2209214e-06
World_Gaze_Direction_R_X,1.199856e-06
Ratio_World_Gaze_Direction_Y,1.1730639e-06
Vergence_Angle,1.0716014e-06
Ratio_World_Gaze_Direction_Z,1.0659686e-06
Delta_Gaze_Z,1.0123217e-06
Vergence_Depth,9.876487e-07
Gaze_Direction_X_Ratio,8.592876e-07
Cosine_Angles,8.445741e-07
Directional_Magnitude_L,8.041906e-07
Ratio_World_Gaze_Direction_X,7.9880203e-07
Relative_Change_Vergence_Angle,7.347692e-07
Velocity_Gaze_Direction_R_X,6.048213e-07
Gaze_Direction_Y_Ratio,5.950537e-07
Angular_Difference_X,5.817001e-07
World_Gaze_Direction_R_Y,5.734784e-07
Ratio_Directional_Magnitude,5.2471e-07
Directional_Magnitude_R,4.7260136e-07
Gaze_Direction_Angle,4.5131372e-07
Delta_Gaze_X,4.248676e-07
Acceleration_Gaze_Direction_R_X,3.6224975e-07
Gaze_Vector_Angle,2.5017337e-07
Directional_Magnitude_Ratio,1.3796314e-07
