feature,attribution
World_Gaze_Direction_R_Z,0.020964565
World_Gaze_Direction_L_Y,0.020717524
World_Gaze_Direction_L_X,0.017614463
Gaze_Direction_Z_Ratio,0.01656009
Gaze_Point_Euclidean_Distance,0.013625206
Ratio_Delta_Gaze_XY,0.012433462
Gaze_Point_Distance,0.012190379
Delta_Gaze_Y,0.011155296
Normalized_Vergence_Angle,0.009558247
World_Gaze_Direction_L_Z,0.009345383
Angular_Difference_Gaze_Directions,0.008806414
World_Gaze_Direction_R_X,0.008730572
Gaze_Point_Depth_Difference,0.008568399
Ratio_World_Gaze_Direction_Y,0.008044832
Ratio_World_Gaze_Direction_Z,0.007637995
Vergence_Angle,0.007231342
Delta_Gaze_Z,0.0071337246
Vergence_Depth,0.006667805
Gaze_Direction_X_Ratio,0.006189274
Cosine_Angles,0.005803871
Directional_Magnitude_L,0.005696665
Ratio_World_Gaze_Direction_X,0.005546726
Relative_Change_Vergence_Angle,0.005041536
Gaze_Direction_Y_Ratio,0.004122092
Velocity_Gaze_Direction_R_X,0.004118098
World_Gaze_Direction_R_Y,0.0040613078
Angular_Difference_X,0.00396272
Ratio_Directional_Magnitude,0.0034562668
Directional_Magnitude_R,0.0030998695
Delta_Gaze_X,0.002992735
Gaze_Direction_Angle,0.0028818697
Acceleration_Gaze_Direction_R_X,0.002553805
Gaze_Vector_Angle,0.0015608079
Directional_Magnitude_Ratio,0.0008450797
