feature,attribution
World_Gaze_Direction_L_Y,0.00014794907110344272
Gaze_Direction_Z_Ratio,0.00014507834915055854
World_Gaze_Direction_L_X,0.00012230398852206738
Delta_Gaze_Y,0.00011795572027555844
Ratio_World_Gaze_Direction_Z,0.00010748288021395484
World_Gaze_Direction_L_Z,0.00010676889140006381
Ratio_World_Gaze_Direction_Y,0.00010507784190532104
Gaze_Point_Depth_Difference,0.00010288190806620993
World_Gaze_Direction_R_Z,9.822526254730417e-05
Ratio_Delta_Gaze_XY,9.33830602951209e-05
Gaze_Point_Euclidean_Distance,9.140460528573323e-05
World_Gaze_Direction_R_X,8.044275703947157e-05
Delta_Gaze_Z,7.199720413497492e-05
Cosine_Angles,7.110809454306118e-05
Ratio_World_Gaze_Direction_X,5.9316654398311634e-05
Directional_Magnitude_L,5.760510271123054e-05
Relative_Change_Vergence_Angle,5.738962078782328e-05
Gaze_Point_Distance,5.590120249136998e-05
Normalized_Vergence_Angle,5.376089241224507e-05
Angular_Difference_X,5.038109710077137e-05
Gaze_Direction_Y_Ratio,5.0196829832455564e-05
Vergence_Depth,4.965466434388625e-05
Gaze_Direction_X_Ratio,4.8511173359779186e-05
Angular_Difference_Gaze_Directions,4.7622352468401104e-05
World_Gaze_Direction_R_Y,4.511761764830547e-05
Delta_Gaze_X,4.490499310231254e-05
Velocity_Gaze_Direction_R_X,4.24097884317714e-05
Acceleration_Gaze_Direction_R_X,3.94533077145414e-05
Vergence_Angle,3.7716882592011915e-05
Directional_Magnitude_R,3.497994767589791e-05
Gaze_Direction_Angle,2.8665369167820693e-05
Ratio_Directional_Magnitude,2.4211772877383426e-05
Gaze_Vector_Angle,2.4003886609970415e-05
Directional_Magnitude_Ratio,8.687136786359654e-06
