feature,attribution
Gaze_Direction_Z_Ratio,1.8711553824949414e-08
World_Gaze_Direction_L_Y,1.7204358489473746e-08
World_Gaze_Direction_R_Z,1.407184817428225e-08
Delta_Gaze_Y,1.2710411007185642e-08
World_Gaze_Direction_L_X,1.2419538117044678e-08
World_Gaze_Direction_L_Z,1.1903682301988595e-08
Gaze_Point_Euclidean_Distance,9.660770535871441e-09
Ratio_World_Gaze_Direction_Z,9.100512791706717e-09
Gaze_Point_Depth_Difference,8.83648221311904e-09
Ratio_World_Gaze_Direction_Y,8.530428592152005e-09
Ratio_Delta_Gaze_XY,7.795014575243777e-09
World_Gaze_Direction_R_X,5.391321589058071e-09
Cosine_Angles,5.163992107094083e-09
Gaze_Point_Distance,4.9556028645352465e-09
Normalized_Vergence_Angle,4.114454202977664e-09
Delta_Gaze_Z,3.7104365950098746e-09
Directional_Magnitude_L,3.548302960673964e-09
Ratio_World_Gaze_Direction_X,3.4085106448117127e-09
Relative_Change_Vergence_Angle,3.2996608023349216e-09
Angular_Difference_Gaze_Directions,3.294201232156563e-09
World_Gaze_Direction_R_Y,2.390046957370704e-09
Vergence_Depth,2.2993093446131325e-09
Gaze_Direction_Y_Ratio,2.2028646927813435e-09
Ratio_Directional_Magnitude,2.1398312739617746e-09
Directional_Magnitude_R,2.114824692737869e-09
Angular_Difference_X,2.11361899591475e-09
Gaze_Direction_X_Ratio,2.0680568015791587e-09
Velocity_Gaze_Direction_R_X,1.7141747450934255e-09
Delta_Gaze_X,1.5648751453471944e-09
Vergence_Angle,1.5375028431274381e-09
Gaze_Direction_Angle,1.244777060021773e-09
Acceleration_Gaze_Direction_R_X,1.0639105597907464e-09
Gaze_Vector_Angle,6.533717398972789e-10
Directional_Magnitude_Ratio,3.7632249920445193e-10
