feature,attribution
Gaze_Direction_Z_Ratio,0.00016918246743171067
World_Gaze_Direction_L_Y,0.0001514181889558854
World_Gaze_Direction_L_X,0.00011500618551446786
Delta_Gaze_Y,0.00011220435228160852
World_Gaze_Direction_R_Z,0.00010646170471601598
World_Gaze_Direction_L_Z,0.00010060566648896245
Gaze_Point_Euclidean_Distance,9.75917450663507e-05
Ratio_World_Gaze_Direction_Z,8.828699864837423e-05
Ratio_World_Gaze_Direction_Y,8.246262562772505e-05
Gaze_Point_Depth_Difference,8.105967471315523e-05
Ratio_Delta_Gaze_XY,7.846017808064842e-05
World_Gaze_Direction_R_X,4.8506315911153634e-05
Cosine_Angles,4.629953088145178e-05
Gaze_Point_Distance,4.4057311049888126e-05
Delta_Gaze_Z,3.6244463039889235e-05
Normalized_Vergence_Angle,3.4241815070297056e-05
Relative_Change_Vergence_Angle,3.341543764807141e-05
Angular_Difference_Gaze_Directions,3.178476964226747e-05
Ratio_World_Gaze_Direction_X,2.987120035704109e-05
Directional_Magnitude_L,2.93922599226862e-05
Vergence_Depth,2.2231355183799382e-05
Angular_Difference_X,2.1903239991233294e-05
Gaze_Direction_Y_Ratio,2.106727454306308e-05
Directional_Magnitude_R,2.061098966788653e-05
Gaze_Direction_X_Ratio,1.969020741299839e-05
World_Gaze_Direction_R_Y,1.9503049403070752e-05
Ratio_Directional_Magnitude,1.8137458396956596e-05
Velocity_Gaze_Direction_R_X,1.7475575534795526e-05
Delta_Gaze_X,1.4277515293533325e-05
Vergence_Angle,1.4013166693600857e-05
Gaze_Direction_Angle,1.0344313527687629e-05
Acceleration_Gaze_Direction_R_X,1.0077743927709042e-05
Gaze_Vector_Angle,7.360205970683373e-06
Directional_Magnitude_Ratio,3.7118074904125542e-06
