feature,attribution
World_Gaze_Direction_L_Y,0.00016086932778300284
World_Gaze_Direction_L_X,0.00015081011852825465
Ratio_Delta_Gaze_XY,0.00012849183114578926
Gaze_Point_Euclidean_Distance,0.00012187523862575211
Ratio_World_Gaze_Direction_Z,0.0001182401038352796
Gaze_Point_Depth_Difference,0.00011619723363814274
Gaze_Direction_Z_Ratio,0.00011581864601970204
Vergence_Angle,0.00011147037064239988
World_Gaze_Direction_L_Z,0.00010673665422198362
World_Gaze_Direction_R_Z,0.00010451056039042993
World_Gaze_Direction_R_X,9.97332532382171e-05
Ratio_World_Gaze_Direction_Y,9.706391559962638e-05
Delta_Gaze_Y,9.482417878800418e-05
Vergence_Depth,8.832140301060938e-05
Normalized_Vergence_Angle,8.619279965304517e-05
Gaze_Direction_X_Ratio,7.620390594893779e-05
Cosine_Angles,6.773769657355759e-05
Velocity_Gaze_Direction_R_X,6.771512196383436e-05
Angular_Difference_Gaze_Directions,6.734866317993385e-05
Gaze_Point_Distance,6.676318040385244e-05
Ratio_World_Gaze_Direction_X,6.480853881502853e-05
Relative_Change_Vergence_Angle,5.7782811536851435e-05
Angular_Difference_X,5.542814717489497e-05
Delta_Gaze_Z,5.280117062459275e-05
Gaze_Direction_Y_Ratio,3.548085331514826e-05
World_Gaze_Direction_R_Y,3.5207618230055715e-05
Directional_Magnitude_R,3.520700715433063e-05
Delta_Gaze_X,3.466356405148149e-05
Acceleration_Gaze_Direction_R_X,3.166415176702798e-05
Gaze_Vector_Angle,3.064774413316727e-05
Directional_Magnitude_L,2.958223183572101e-05
Gaze_Direction_Angle,2.6927888971647463e-05
Ratio_Directional_Magnitude,2.0288544479572532e-05
Directional_Magnitude_Ratio,8.698284466415612e-06
