feature,attribution
World_Gaze_Direction_L_X,2.0485502246979798e-08
World_Gaze_Direction_L_Y,1.8590385265467805e-08
Ratio_World_Gaze_Direction_Z,1.249893271370967e-08
Ratio_Delta_Gaze_XY,1.236831812302405e-08
Gaze_Point_Depth_Difference,1.230001584631104e-08
Gaze_Point_Euclidean_Distance,1.1548384928121296e-08
Gaze_Direction_Z_Ratio,1.1415504250629952e-08
World_Gaze_Direction_L_Z,1.0471713959948498e-08
Delta_Gaze_Y,9.414294298385843e-09
World_Gaze_Direction_R_Z,7.886253112824851e-09
Ratio_World_Gaze_Direction_Y,7.672692966973967e-09
Normalized_Vergence_Angle,7.378910464883312e-09
Gaze_Point_Distance,6.542105447758483e-09
World_Gaze_Direction_R_X,6.088896486021279e-09
Angular_Difference_Gaze_Directions,5.437058714441871e-09
Vergence_Angle,4.661589987448324e-09
Cosine_Angles,4.319877396136713e-09
Ratio_World_Gaze_Direction_X,2.90211405042556e-09
Vergence_Depth,2.5995019244261312e-09
Relative_Change_Vergence_Angle,2.4498592474920217e-09
Velocity_Gaze_Direction_R_X,1.9785432926086556e-09
Gaze_Direction_X_Ratio,1.808155818152652e-09
Directional_Magnitude_R,1.696961031285888e-09
Ratio_Directional_Magnitude,1.4553293926149377e-09
Delta_Gaze_Z,1.1725329105437592e-09
Angular_Difference_X,1.1072546412902016e-09
Directional_Magnitude_L,1.0730096899197702e-09
Gaze_Direction_Angle,9.702867792582753e-10
World_Gaze_Direction_R_Y,9.035872716716039e-10
Acceleration_Gaze_Direction_R_X,7.034058713687836e-10
Gaze_Direction_Y_Ratio,6.868451860733466e-10
Gaze_Vector_Angle,6.709468313162877e-10
Delta_Gaze_X,6.612710884198026e-10
Directional_Magnitude_Ratio,2.028619550534325e-10
