feature,attribution
World_Gaze_Direction_L_Y,0.0001821239121440171
World_Gaze_Direction_L_X,0.0001791603873041108
Ratio_World_Gaze_Direction_Z,0.00012188836582522032
Gaze_Point_Depth_Difference,0.00011616575710446796
Gaze_Point_Euclidean_Distance,0.00011554623848339389
Ratio_Delta_Gaze_XY,0.0001142988420835007
Gaze_Direction_Z_Ratio,0.00010980075238210226
World_Gaze_Direction_L_Z,9.926211989810283e-05
Delta_Gaze_Y,9.38983637055769e-05
Ratio_World_Gaze_Direction_Y,7.767816889625988e-05
World_Gaze_Direction_R_Z,7.756403726316679e-05
Normalized_Vergence_Angle,6.434082026977755e-05
Gaze_Point_Distance,6.154701357530249e-05
World_Gaze_Direction_R_X,5.9426862339314996e-05
Angular_Difference_Gaze_Directions,5.185775556882235e-05
Cosine_Angles,4.496076837617167e-05
Vergence_Angle,4.070953883600714e-05
Relative_Change_Vergence_Angle,2.761092112440873e-05
Vergence_Depth,2.526679206348086e-05
Ratio_World_Gaze_Direction_X,2.2778208552201416e-05
Gaze_Direction_X_Ratio,2.0629004945340963e-05
Velocity_Gaze_Direction_R_X,1.9275678191198432e-05
Directional_Magnitude_R,1.524650183640242e-05
Delta_Gaze_Z,1.4013332507843743e-05
Ratio_Directional_Magnitude,1.3959581669718583e-05
Angular_Difference_X,1.1938931834915875e-05
Gaze_Direction_Angle,1.1569575804723172e-05
World_Gaze_Direction_R_Y,8.583273464220575e-06
Gaze_Vector_Angle,6.941267355350295e-06
Gaze_Direction_Y_Ratio,6.687270872852829e-06
Directional_Magnitude_L,6.164475296392695e-06
Delta_Gaze_X,5.089932680493046e-06
Acceleration_Gaze_Direction_R_X,4.741034416977158e-06
Directional_Magnitude_Ratio,1.8546053141284252e-06
