feature,attribution
Gaze_Direction_Z_Ratio,0.00014596871639573926
World_Gaze_Direction_L_Y,0.00013706104173768076
Ratio_World_Gaze_Direction_Y,0.00012613819974803683
World_Gaze_Direction_L_X,0.00012436933876760028
World_Gaze_Direction_L_Z,0.00011329453997693603
Gaze_Point_Depth_Difference,0.0001077629475780616
Ratio_World_Gaze_Direction_Z,0.00010510336786424277
Delta_Gaze_Y,0.00010416936812300009
World_Gaze_Direction_R_Z,9.824431257537985e-05
Ratio_Delta_Gaze_XY,9.700176861981785e-05
Gaze_Point_Euclidean_Distance,9.313154499477027e-05
World_Gaze_Direction_R_X,8.18236873494048e-05
Delta_Gaze_Z,7.479218040470754e-05
Cosine_Angles,7.023824227679452e-05
Relative_Change_Vergence_Angle,6.652984136700996e-05
Ratio_World_Gaze_Direction_X,6.381504725093999e-05
Directional_Magnitude_L,6.261786667379012e-05
Gaze_Point_Distance,5.815518368636262e-05
Gaze_Direction_Y_Ratio,5.739813907868978e-05
Vergence_Depth,5.6220818406499336e-05
Angular_Difference_X,5.568486123459108e-05
Normalized_Vergence_Angle,5.4553048140910066e-05
Gaze_Direction_X_Ratio,5.3879705570017814e-05
Angular_Difference_Gaze_Directions,5.058172973770743e-05
Delta_Gaze_X,5.036929211229789e-05
World_Gaze_Direction_R_Y,4.800459439478235e-05
Velocity_Gaze_Direction_R_X,4.351151332040526e-05
Vergence_Angle,4.21792184071676e-05
Acceleration_Gaze_Direction_R_X,3.976124391898911e-05
Directional_Magnitude_R,3.554450144986727e-05
Gaze_Direction_Angle,3.366638632374925e-05
Ratio_Directional_Magnitude,2.57622766274883e-05
Gaze_Vector_Angle,2.5097675547510584e-05
Directional_Magnitude_Ratio,9.68767685597051e-06
