feature,attribution
Gaze_Direction_Z_Ratio,1.920453855937082e-08
World_Gaze_Direction_L_Y,1.7750788224033534e-08
Delta_Gaze_Y,1.5755009469165085e-08
World_Gaze_Direction_L_X,1.3276931954167393e-08
World_Gaze_Direction_L_Z,1.2512946645980691e-08
World_Gaze_Direction_R_Z,1.1284327927618347e-08
Gaze_Point_Euclidean_Distance,1.0524616352859616e-08
Ratio_World_Gaze_Direction_Z,9.877114832799e-09
Gaze_Point_Depth_Difference,8.864785912835545e-09
Ratio_World_Gaze_Direction_Y,8.525699863833645e-09
Ratio_Delta_Gaze_XY,8.193898005075775e-09
World_Gaze_Direction_R_X,5.7489573469733994e-09
Cosine_Angles,5.528893556672865e-09
Delta_Gaze_Z,4.606659558140307e-09
Ratio_World_Gaze_Direction_X,4.217403868000002e-09
Gaze_Point_Distance,4.154464657729945e-09
Normalized_Vergence_Angle,3.897676282484071e-09
Directional_Magnitude_L,3.8595345399512304e-09
Relative_Change_Vergence_Angle,3.776854647906972e-09
Angular_Difference_Gaze_Directions,3.232858282841697e-09
Gaze_Direction_Y_Ratio,2.8512602285981794e-09
World_Gaze_Direction_R_Y,2.6411252531960965e-09
Directional_Magnitude_R,2.615155400436393e-09
Gaze_Direction_X_Ratio,2.5153984592241852e-09
Angular_Difference_X,2.396792238319765e-09
Vergence_Depth,2.2618511427224037e-09
Delta_Gaze_X,2.1472583683273534e-09
Velocity_Gaze_Direction_R_X,1.8392006263888063e-09
Vergence_Angle,1.8096300367560783e-09
Ratio_Directional_Magnitude,1.7983714970627986e-09
Gaze_Direction_Angle,1.392794532241221e-09
Acceleration_Gaze_Direction_R_X,1.3074424766825591e-09
Gaze_Vector_Angle,6.719202902963118e-10
Directional_Magnitude_Ratio,4.526936524637721e-10
