feature,attribution
Gaze_Direction_Z_Ratio,0.00018773762675823586
World_Gaze_Direction_L_Y,0.00015122171641463643
World_Gaze_Direction_L_X,0.0001356371049351503
Gaze_Point_Depth_Difference,0.00012423321327014594
Delta_Gaze_Y,0.00011893593966160379
World_Gaze_Direction_L_Z,0.00011042461110715587
World_Gaze_Direction_R_Z,0.00010476542949723867
Ratio_World_Gaze_Direction_Z,9.956370621712315e-05
Ratio_World_Gaze_Direction_Y,9.575428516834772e-05
Gaze_Point_Euclidean_Distance,8.932056557634839e-05
Ratio_Delta_Gaze_XY,7.873416030344891e-05
World_Gaze_Direction_R_X,5.377358272587735e-05
Cosine_Angles,5.186406535513369e-05
Directional_Magnitude_L,3.953890980264316e-05
Normalized_Vergence_Angle,3.833637125542062e-05
Delta_Gaze_Z,3.7216469768250955e-05
Gaze_Point_Distance,3.715488368832149e-05
Ratio_World_Gaze_Direction_X,3.688538184259923e-05
Relative_Change_Vergence_Angle,3.3344250931207126e-05
Angular_Difference_Gaze_Directions,3.029561926220179e-05
Vergence_Depth,2.6048260657085104e-05
Directional_Magnitude_R,2.564235136783717e-05
Angular_Difference_X,2.5614258318877877e-05
World_Gaze_Direction_R_Y,2.54168399068638e-05
Gaze_Direction_Y_Ratio,2.4324564631605268e-05
Gaze_Direction_X_Ratio,2.348133416243683e-05
Ratio_Directional_Magnitude,1.9957032075033942e-05
Velocity_Gaze_Direction_R_X,1.9453909980447543e-05
Delta_Gaze_X,1.7672674551241185e-05
Vergence_Angle,1.3221906141919228e-05
Gaze_Direction_Angle,1.2716483826562922e-05
Acceleration_Gaze_Direction_R_X,1.2633290843258993e-05
Gaze_Vector_Angle,6.937578485294853e-06
Directional_Magnitude_Ratio,4.3294617487433e-06
