feature,attribution
Gaze_Direction_X_Ratio,561.3651749431912
World_Gaze_Direction_R_X,561.3651240793749
World_Gaze_Direction_R_Z,561.3649913867711
World_Gaze_Direction_R_Y,561.364585738117
Angular_Difference_X,561.3643750989656
Directional_Magnitude_L,561.3643744522282
Gaze_Direction_Y_Ratio,561.3643438027124
Ratio_Directional_Magnitude,561.3643247655295
Gaze_Point_Depth_Difference,561.3643190110164
Gaze_Point_Distance,561.3643183203612
Cosine_Angles,561.3643081177547
Gaze_Direction_Z_Ratio,561.364268353574
Directional_Magnitude_Ratio,561.364262354212
Gaze_Direction_Angle,561.3642163236166
World_Gaze_Direction_L_Z,561.3641770183266
Acceleration_Gaze_Direction_R_X,561.3641557363615
Delta_Gaze_Z,561.3641557246398
Delta_Gaze_Y,561.3641420734953
Directional_Magnitude_R,561.364131829716
Ratio_World_Gaze_Direction_Y,561.3640765242021
Gaze_Vector_Angle,561.3640615002278
Vergence_Depth,561.3639857855394
Ratio_World_Gaze_Direction_Z,561.3639773437683
Relative_Change_Vergence_Angle,561.3639611861424
Delta_Gaze_X,561.363789123077
Angular_Difference_Gaze_Directions,561.3636862018068
World_Gaze_Direction_L_Y,561.3635620827916
Ratio_World_Gaze_Direction_X,561.3635109562405
Normalized_Vergence_Angle,561.3634662063789
Velocity_Gaze_Direction_R_X,561.363368346588
Vergence_Angle,561.3632300742289
Gaze_Point_Euclidean_Distance,561.3631563780851
Ratio_Delta_Gaze_XY,561.3630160979651
World_Gaze_Direction_L_X,561.3625062166054
