feature,attribution
World_Gaze_Direction_L_Z,3.3468442713453945
Gaze_Point_Euclidean_Distance,3.330102749195375
World_Gaze_Direction_L_Y,3.2159900357798987
Gaze_Point_Distance,3.1489611026747113
Ratio_World_Gaze_Direction_X,3.097750712870743
World_Gaze_Direction_R_Y,3.046282095868013
Ratio_Delta_Gaze_XY,3.042411083572186
Velocity_Gaze_Direction_R_X,3.011395626849436
Acceleration_Gaze_Direction_R_X,3.0077757490120187
Delta_Gaze_Y,3.003245803946504
Gaze_Direction_Y_Ratio,3.001614967232493
Relative_Change_Vergence_Angle,2.9998987384226363
Directional_Magnitude_L,2.9981459819733414
Angular_Difference_X,2.981088940350358
Ratio_World_Gaze_Direction_Y,2.9739745740396635
Directional_Magnitude_Ratio,2.9638736374887378
Delta_Gaze_X,2.962955870993299
Gaze_Direction_X_Ratio,2.9541300905812475
Gaze_Point_Depth_Difference,2.953920694703759
Vergence_Angle,2.9521971165188265
Vergence_Depth,2.952027411177225
Gaze_Vector_Angle,2.950323170129021
Directional_Magnitude_R,2.9395195918028927
Cosine_Angles,2.9304608635048712
Ratio_Directional_Magnitude,2.9224698762005668
World_Gaze_Direction_R_X,2.9180108375205034
Delta_Gaze_Z,2.9017977287579027
Normalized_Vergence_Angle,2.890579566119218
Gaze_Direction_Angle,2.8770422481160574
Angular_Difference_Gaze_Directions,2.8767246346084936
Ratio_World_Gaze_Direction_Z,2.8695539885187893
World_Gaze_Direction_L_X,2.8139065823756844
World_Gaze_Direction_R_Z,2.6862611286554796
Gaze_Direction_Z_Ratio,2.622717452386414
