feature,attribution
Gaze_Point_Euclidean_Distance,0.56009835
Vergence_Angle,0.5396724
World_Gaze_Direction_R_Z,0.53906035
Ratio_Directional_Magnitude,0.53734004
Delta_Gaze_Y,0.5262853
Ratio_Delta_Gaze_XY,0.52582973
World_Gaze_Direction_L_X,0.5184963
World_Gaze_Direction_L_Z,0.51824677
World_Gaze_Direction_R_X,0.5094796
Gaze_Direction_Z_Ratio,0.5062044
Gaze_Direction_X_Ratio,0.5052773
Angular_Difference_Gaze_Directions,0.504091
Velocity_Gaze_Direction_R_X,0.5021124
Normalized_Vergence_Angle,0.5018809
Gaze_Direction_Angle,0.49590036
Gaze_Vector_Angle,0.49247128
Gaze_Point_Distance,0.48666736
Ratio_World_Gaze_Direction_X,0.48659185
Directional_Magnitude_Ratio,0.48542842
Ratio_World_Gaze_Direction_Z,0.4833864
Delta_Gaze_X,0.4829333
Acceleration_Gaze_Direction_R_X,0.48254964
Directional_Magnitude_R,0.48248592
World_Gaze_Direction_R_Y,0.48223463
Relative_Change_Vergence_Angle,0.47852057
Vergence_Depth,0.4781577
World_Gaze_Direction_L_Y,0.4776497
Delta_Gaze_Z,0.46831945
Angular_Difference_X,0.4665868
Gaze_Direction_Y_Ratio,0.46655163
Gaze_Point_Depth_Difference,0.4626981
Ratio_World_Gaze_Direction_Y,0.4568417
Directional_Magnitude_L,0.4502971
Cosine_Angles,0.44450137
