feature,attribution
World_Gaze_Direction_R_Z,0.00024294957
World_Gaze_Direction_L_X,0.00021600872
World_Gaze_Direction_L_Y,0.00018169261
Gaze_Point_Euclidean_Distance,0.00018163353
Ratio_Delta_Gaze_XY,0.00017194002
Gaze_Direction_Z_Ratio,0.00016561757
Normalized_Vergence_Angle,0.00016057411
World_Gaze_Direction_R_X,0.0001477028
World_Gaze_Direction_L_Z,0.00014524671
Delta_Gaze_Y,0.00014372342
Angular_Difference_Gaze_Directions,0.00014235366
Vergence_Angle,0.00012624475
Velocity_Gaze_Direction_R_X,0.00012491026
Gaze_Point_Depth_Difference,0.000121976416
Ratio_World_Gaze_Direction_Y,0.000120972734
Gaze_Direction_X_Ratio,0.00011962201
Ratio_World_Gaze_Direction_Z,0.00011615113
Gaze_Point_Distance,0.00011400666
Ratio_World_Gaze_Direction_X,0.0001134106
Delta_Gaze_Z,0.000109882705
Cosine_Angles,0.0001063383
Vergence_Depth,0.00010630993
Relative_Change_Vergence_Angle,0.00010231932
Angular_Difference_X,9.4229974e-05
Delta_Gaze_X,8.855341e-05
Gaze_Direction_Y_Ratio,8.41761e-05
Directional_Magnitude_L,8.407856e-05
World_Gaze_Direction_R_Y,8.245139e-05
Gaze_Vector_Angle,7.735744e-05
Acceleration_Gaze_Direction_R_X,7.044397e-05
Gaze_Direction_Angle,6.942798e-05
Ratio_Directional_Magnitude,6.5286295e-05
Directional_Magnitude_R,5.3065545e-05
Directional_Magnitude_Ratio,1.7900365e-05
