feature,attribution
World_Gaze_Direction_R_Z,5.456695e-08
World_Gaze_Direction_L_X,3.6563602e-08
World_Gaze_Direction_L_Y,2.5625777e-08
Normalized_Vergence_Angle,2.4840647e-08
Gaze_Point_Euclidean_Distance,2.185019e-08
Ratio_Delta_Gaze_XY,2.1515131e-08
Gaze_Direction_Z_Ratio,2.089496e-08
Angular_Difference_Gaze_Directions,2.019239e-08
Gaze_Point_Distance,1.6751123e-08
World_Gaze_Direction_L_Z,1.5060582e-08
World_Gaze_Direction_R_X,1.5038706e-08
Gaze_Point_Depth_Difference,1.4656543e-08
Velocity_Gaze_Direction_R_X,1.3888452e-08
Delta_Gaze_Y,1.314729e-08
Ratio_World_Gaze_Direction_Y,1.2477531e-08
Vergence_Angle,1.1930404e-08
Cosine_Angles,1.112291e-08
Ratio_World_Gaze_Direction_Z,1.0861208e-08
Gaze_Direction_X_Ratio,1.0651131e-08
Delta_Gaze_Z,1.0064583e-08
Vergence_Depth,9.858522e-09
Ratio_World_Gaze_Direction_X,9.826454e-09
Relative_Change_Vergence_Angle,8.775702e-09
Directional_Magnitude_L,8.239454e-09
Angular_Difference_X,7.68051e-09
Delta_Gaze_X,6.428675e-09
Gaze_Direction_Y_Ratio,6.166659e-09
World_Gaze_Direction_R_Y,6.1167325e-09
Gaze_Direction_Angle,5.7048415e-09
Gaze_Vector_Angle,5.5910476e-09
Directional_Magnitude_R,5.215073e-09
Ratio_Directional_Magnitude,5.1055657e-09
Acceleration_Gaze_Direction_R_X,3.976303e-09
Directional_Magnitude_Ratio,1.4411569e-09
