feature,attribution
Acceleration_Gaze_Direction_R_X,0.67243916
Directional_Magnitude_R,0.609426
Gaze_Point_Distance,0.5989975
Cosine_Angles,0.58506095
World_Gaze_Direction_L_X,0.5706518
Vergence_Angle,0.54030603
Directional_Magnitude_L,0.537725
Delta_Gaze_Z,0.5344372
Gaze_Direction_Y_Ratio,0.5331721
Gaze_Direction_Z_Ratio,0.5326062
Ratio_World_Gaze_Direction_Y,0.5270277
Delta_Gaze_X,0.5114896
Vergence_Depth,0.5052227
Gaze_Direction_Angle,0.50118136
World_Gaze_Direction_L_Z,0.4977157
Normalized_Vergence_Angle,0.4949478
Relative_Change_Vergence_Angle,0.48929545
Gaze_Point_Euclidean_Distance,0.48818228
Delta_Gaze_Y,0.48793685
World_Gaze_Direction_R_Z,0.48257685
Ratio_Directional_Magnitude,0.48037767
Gaze_Vector_Angle,0.46832514
Angular_Difference_X,0.4660772
Gaze_Point_Depth_Difference,0.4648082
Gaze_Direction_X_Ratio,0.46069124
World_Gaze_Direction_R_Y,0.4603395
World_Gaze_Direction_L_Y,0.453802
Angular_Difference_Gaze_Directions,0.45085084
Velocity_Gaze_Direction_R_X,0.44887647
Ratio_Delta_Gaze_XY,0.4486169
World_Gaze_Direction_R_X,0.44758156
Ratio_World_Gaze_Direction_X,0.44737023
Ratio_World_Gaze_Direction_Z,0.44364867
Directional_Magnitude_Ratio,0.4235887
