feature,attribution
Velocity_Gaze_Direction_R_X,0.0068247775
Directional_Magnitude_L,0.0062692245
Ratio_World_Gaze_Direction_Z,0.005932872
Ratio_Delta_Gaze_XY,0.0052534323
Delta_Gaze_Z,0.0051633827
Directional_Magnitude_R,0.0046345526
World_Gaze_Direction_L_X,0.004628352
Acceleration_Gaze_Direction_R_X,0.004628037
World_Gaze_Direction_R_Y,0.004393684
Delta_Gaze_X,0.0043407828
Gaze_Direction_X_Ratio,0.004096723
Angular_Difference_Gaze_Directions,0.0039979555
Vergence_Depth,0.003965365
Cosine_Angles,0.0038880978
World_Gaze_Direction_L_Z,0.0038597733
World_Gaze_Direction_R_Z,0.0038375217
Gaze_Point_Distance,0.0035841456
Directional_Magnitude_Ratio,0.0034093086
Ratio_World_Gaze_Direction_X,0.0033818898
World_Gaze_Direction_R_X,0.0031522545
Gaze_Direction_Y_Ratio,0.0029662903
Ratio_Directional_Magnitude,0.002957406
Gaze_Direction_Z_Ratio,0.002948811
Angular_Difference_X,0.002686304
Vergence_Angle,0.0025673902
World_Gaze_Direction_L_Y,0.002505732
Ratio_World_Gaze_Direction_Y,0.0024911626
Gaze_Direction_Angle,0.0023466677
Gaze_Point_Depth_Difference,0.0022481724
Gaze_Vector_Angle,0.0022099614
Gaze_Point_Euclidean_Distance,0.0021727337
Delta_Gaze_Y,0.002119397
Normalized_Vergence_Angle,0.0018324058
Relative_Change_Vergence_Angle,0.0015235079
