feature,attribution
Velocity_Gaze_Direction_R_X,5.9374288e-05
Ratio_World_Gaze_Direction_Z,4.52827e-05
Ratio_Delta_Gaze_XY,4.0521343e-05
Directional_Magnitude_L,3.429242e-05
Gaze_Direction_X_Ratio,2.8161066e-05
Delta_Gaze_Z,2.4992634e-05
World_Gaze_Direction_R_Y,2.4484363e-05
Angular_Difference_Gaze_Directions,2.320328e-05
Delta_Gaze_X,2.2416287e-05
Vergence_Depth,2.1561265e-05
World_Gaze_Direction_R_Z,2.115692e-05
World_Gaze_Direction_L_X,1.8970537e-05
Directional_Magnitude_R,1.600618e-05
World_Gaze_Direction_L_Z,1.3592364e-05
Directional_Magnitude_Ratio,1.2484565e-05
Acceleration_Gaze_Direction_R_X,1.2044398e-05
Angular_Difference_X,1.0985626e-05
Ratio_World_Gaze_Direction_X,1.0338841e-05
World_Gaze_Direction_R_X,9.984864e-06
Ratio_Directional_Magnitude,8.937964e-06
Gaze_Point_Distance,8.240133e-06
Cosine_Angles,8.174214e-06
Vergence_Angle,7.9587335e-06
Gaze_Point_Euclidean_Distance,7.140506e-06
Gaze_Direction_Y_Ratio,6.0581406e-06
Gaze_Direction_Z_Ratio,5.935387e-06
World_Gaze_Direction_L_Y,5.1436336e-06
Gaze_Vector_Angle,5.0381827e-06
Gaze_Point_Depth_Difference,4.937238e-06
Gaze_Direction_Angle,4.575901e-06
Ratio_World_Gaze_Direction_Y,4.4158883e-06
Delta_Gaze_Y,3.858887e-06
Normalized_Vergence_Angle,3.1422067e-06
Relative_Change_Vergence_Angle,2.5145919e-06
