feature,attribution
Velocity_Gaze_Direction_R_X,0.13787292
Ratio_World_Gaze_Direction_Z,0.11087741
Directional_Magnitude_L,0.09560124
Ratio_Delta_Gaze_XY,0.087150805
Delta_Gaze_Z,0.066127695
Gaze_Direction_X_Ratio,0.06144324
World_Gaze_Direction_R_Y,0.05841724
Delta_Gaze_X,0.05454173
Angular_Difference_Gaze_Directions,0.05139985
World_Gaze_Direction_L_X,0.050419554
Vergence_Depth,0.04862721
World_Gaze_Direction_R_Z,0.04714595
Directional_Magnitude_R,0.04431787
Directional_Magnitude_Ratio,0.037751455
World_Gaze_Direction_L_Z,0.03707222
Acceleration_Gaze_Direction_R_X,0.035584826
Cosine_Angles,0.031285472
Ratio_World_Gaze_Direction_X,0.030189482
World_Gaze_Direction_R_X,0.029038666
Gaze_Point_Distance,0.0254871
Ratio_Directional_Magnitude,0.024174808
Angular_Difference_X,0.022362642
Gaze_Direction_Y_Ratio,0.01828257
Vergence_Angle,0.016948657
Gaze_Direction_Z_Ratio,0.016401533
World_Gaze_Direction_L_Y,0.014861415
Gaze_Point_Euclidean_Distance,0.013314197
Ratio_World_Gaze_Direction_Y,0.012413456
Gaze_Vector_Angle,0.0111838
Gaze_Direction_Angle,0.010778062
Gaze_Point_Depth_Difference,0.010279452
Delta_Gaze_Y,0.008603668
Normalized_Vergence_Angle,0.005093455
Relative_Change_Vergence_Angle,0.002708328
