feature,attribution
Acceleration_Gaze_Direction_R_X,0.67243916
Directional_Magnitude_R,0.609426
Gaze_Point_Distance,0.5989975
Cosine_Angles,0.58506095
World_Gaze_Direction_L_X,0.57065177
Vergence_Angle,0.540306
Directional_Magnitude_L,0.5377249
Delta_Gaze_Z,0.53443724
Gaze_Direction_Y_Ratio,0.533172
Gaze_Direction_Z_Ratio,0.5326062
Ratio_World_Gaze_Direction_Y,0.52702767
Delta_Gaze_X,0.51148957
Vergence_Depth,0.5052226
Gaze_Direction_Angle,0.50118136
World_Gaze_Direction_L_Z,0.49771568
Normalized_Vergence_Angle,0.49494776
Relative_Change_Vergence_Angle,0.48929542
Gaze_Point_Euclidean_Distance,0.48818225
Delta_Gaze_Y,0.48793685
World_Gaze_Direction_R_Z,0.48257685
Ratio_Directional_Magnitude,0.48037767
Gaze_Vector_Angle,0.46832514
Angular_Difference_X,0.4660772
Gaze_Point_Depth_Difference,0.4648082
Gaze_Direction_X_Ratio,0.46069115
World_Gaze_Direction_R_Y,0.46033946
World_Gaze_Direction_L_Y,0.453802
Angular_Difference_Gaze_Directions,0.45085078
Velocity_Gaze_Direction_R_X,0.44887638
Ratio_Delta_Gaze_XY,0.44861683
World_Gaze_Direction_R_X,0.4475815
Ratio_World_Gaze_Direction_X,0.44737023
Ratio_World_Gaze_Direction_Z,0.4436487
Directional_Magnitude_Ratio,0.42358866
