feature,attribution
Velocity_Gaze_Direction_R_X,5.9374277e-05
Ratio_World_Gaze_Direction_Z,4.52827e-05
Ratio_Delta_Gaze_XY,4.052134e-05
Directional_Magnitude_L,3.4292414e-05
Gaze_Direction_X_Ratio,2.8161072e-05
Delta_Gaze_Z,2.4992634e-05
World_Gaze_Direction_R_Y,2.4484367e-05
Angular_Difference_Gaze_Directions,2.3203285e-05
Delta_Gaze_X,2.2416281e-05
Vergence_Depth,2.156127e-05
World_Gaze_Direction_R_Z,2.1156924e-05
World_Gaze_Direction_L_X,1.897054e-05
Directional_Magnitude_R,1.6006179e-05
World_Gaze_Direction_L_Z,1.3592367e-05
Directional_Magnitude_Ratio,1.2484563e-05
Acceleration_Gaze_Direction_R_X,1.20444e-05
Angular_Difference_X,1.098563e-05
Ratio_World_Gaze_Direction_X,1.0338841e-05
World_Gaze_Direction_R_X,9.984865e-06
Ratio_Directional_Magnitude,8.937964e-06
Gaze_Point_Distance,8.240134e-06
Cosine_Angles,8.174213e-06
Vergence_Angle,7.958733e-06
Gaze_Point_Euclidean_Distance,7.140507e-06
Gaze_Direction_Y_Ratio,6.0581397e-06
Gaze_Direction_Z_Ratio,5.935388e-06
World_Gaze_Direction_L_Y,5.143633e-06
Gaze_Vector_Angle,5.0381823e-06
Gaze_Point_Depth_Difference,4.937239e-06
Gaze_Direction_Angle,4.5759016e-06
Ratio_World_Gaze_Direction_Y,4.4158883e-06
Delta_Gaze_Y,3.858887e-06
Normalized_Vergence_Angle,3.1422067e-06
Relative_Change_Vergence_Angle,2.5145919e-06
